1991,Feb,12.8,-5.3,6.6,0.8,59,-10.6,9.4,54.4
1991,Mar,15.2,-1.2,10.6,5.1,91.1,-3.7,9.4,82.7
1991,Apr,13.6,0,11.1,4.4,92.3,-1.2,12.4,135.5
1991,May,21.5,3.1,15.6,7.8,3.6,-1.3,8.5,168.5
1991,Jun,19.6,2.8,15.7,8.7,79.8,-0.5,9.8,144
1991,Jul,22.9,10,19.4,12.6,26.4,7.2,9.9,143.4
1991,Aug,24.3,6.8,20.1,12.3,36.9,4,8.3,155.2
1991,Sep,24,2.3,18.1,10.1,42.8,0.5,9.3,149.3
1991,Oct,18.2,2.6,12.6,7.1,85.6,-0.3,10.5,77.4
1991,Nov,13.3,0.1,9.7,4.1,50.3,-4.2,13.2,60.2
1991,Dec,14,-0.3,9.3,4.7,38.1,-5.4,11,40.5
1992,Jan,13.2,-2.2,8.4,3.4,32.9,-8,8.6,52.5
1992,Feb,12.7,0,10,4.2,23.9,-4.5,12,63.8
1992,Mar,15.2,-0.6,11,4.8,65.1,-2,14,67.3
1992,Apr,17.2,0.8,11.8,5.1,70.3,-2,11.8,104.4
1992,May,20.4,2.8,15.9,8.5,39.5,-0.3,10.2,204
1992,Jun,23.8,8,18.9,11.3,37.4,5.2,7.3,190.6
1992,Jul,22.7,8.3,19.1,12.1,69.9,5,8.6,158.9
1992,Aug,21,6.5,18.1,10.6,85.3,3.3,10.7,167.5
1992,Sep,20,3.7,15.6,9,64.2,1.4,10.1,98
1992,Oct,16.4,-0.4,10.8,4.7,29.7,-3.5,9.4,99.8
1992,Nov,15.4,-0.9,10.9,4.9,64.1,-3.8,12.8,62.4
1992,Dec,12.8,-4.1,8,2.8,41.6,-8.5,9.1,63.1
1993,Jan,14,-0.7,10.1,3.8,57.9,-2,16.2,37.6
1993,Feb,12.4,-1.5,9.2,4.7,19.5,-5,9.8,55.6
1993,Mar,15.5,0.4,10,4.6,26.2,-5.1,11.1,83.4
1993,Apr,19,1.4,12.8,6.6,48.7,-1.5,10.1,129.6
1993,May,16.9,1.4,13.5,7.1,149.7,-1,10,166.8
1993,Jun,22.9,6.3,17.5,10.6,148.3,3.8,7.7,127.8
1993,Jul,22.5,7.4,18.3,11.3,60.1,3.1,10.7,140.4
1993,Aug,21.2,6.1,18.2,10.5,36.8,2.5,7.9,194.7
1993,Sep,20,4.5,15.4,9,90,-0.9,9.6,100.6
1993,Oct,15.1,-1.1,11.4,5.3,86.5,-4.6,7.3,97.3
1993,Nov,14.1,-0.9,9.2,4.4,45.4,-7.6,9.3,70.3
1993,Dec,13.9,-1,8.3,3.1,105.7,-3.6,14.3,47.3
1994,Jan,11.7,-2.1,8.3,2.9,83,-8.2,13.5,54.8
1994,Feb,10.1,-1.4,6.8,2.4,99.4,-6.9,12.9,42.2
1994,Mar,15,-0.1,10.7,4.2,72.1,-4,15.7,102.9
1994,Apr,19.1,1,11.4,3.7,60.3,-4.5,11.7,176.2
1994,May,18.8,0.8,12.7,5.7,52.5,-1,10.2,161.6
1994,Jun,21.4,4.2,17.1,8.6,21.2,2.6,10.6,140.7
1994,Jul,21.8,4.9,18.9,10.6,64.5,2.2,6.4,139.8
1994,Aug,22.1,4.7,17.6,10,58.6,4,9,131.1
1994,Sep,20.2,4.9,15.1,8.2,88.3,1.9,8.4,110.5
1994,Oct,17.8,-0.8,13.3,6.4,45.9,-2.4,9.6,128.7
1994,Nov,15.9,0.1,12.3,6.4,54.8,-1.8,10,52.6
1994,Dec,14.6,-1.4,9.6,3.7,86,-4.7,13.5,58.1
1995,Jan,12.8,-2.5,7.8,1.4,109.1,-5.9,13.3,41.5
1995,Feb,13,-2,9.1,2.9,92,-7,14.3,63.2
1995,Mar,15.4,-3.3,9,1.5,44.7,-6.9,13.5,122.7
1995,Apr,18.8,-2,12.8,3.8,27.3,-4.4,10.1,170.3
1995,May,22.5,0,14.4,6,49.2,-3.6,9.1,159.5
1995,Jun,25.3,4,18.1,8.1,11.6,0.7,8.3,240.5
1995,Jul,26.8,7.1,20.9,11.6,70.2,4,8.9,165.4
1995,Aug,27.1,6.8,22.9,11.8,7.2,1.7,8.1,274.3
1995,Sep,21.1,3.9,17.1,8.3,43.6,0.2,9,136.4
1995,Oct,21,0.6,16.2,8.5,38,-1.7,11.6,110.4
1995,Nov,14.7,-3.1,11,4.4,145.6,-5.9,9.7,67.8
1995,Dec,14.1,-7.9,6.9,2.2,72.7,-9.6,9.6,57.8
1996,Jan,12,-2.8,7.9,4.1,86.5,-3.2,13.5,16.4
1996,Feb,9.8,-3.9,7.2,0.4,62.4,-7.5,11.7,93.1
1996,Mar,10.7,-2,7.6,2,70.3,-5.3,10,46.4
1996,Apr,16.7,-1.9,12.3,4.2,58.3,-5.4,9.6,110.1
1996,May,20.6,-1.6,12.9,4.1,69.8,-4.1,9.6,207.4
1996,Jun,23.2,4,18.1,8,20.8,0.2,8.6,224.2
1996,Jul,24.3,4.8,19.5,10.3,36.8,2.7,8.8,168.9
1996,Aug,23,5.5,18.3,10.3,102.9,2.2,8.2,130.7
1996,Sep,22.8,4.2,17.1,8.7,19,0.1,9.2,159.2
1996,Oct,18.6,1.9,14.2,7.5,102.4,-1.2,12.6,73.5
